车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
粤B3AU48,03无排行有提醒,14,13,43.5,98.05,105.59
粤B533CJ,03无排行有提醒,9,15,32.88,74.11,44.47
粤B2X562,03无排行有提醒,2,21,68.74,154.94,14.76
粤BY1047,03无排行有提醒,16,1,1.2,2.7,43.28
粤STC809,03无排行有提醒,2,14,160.78,362.4,51.77
渝D865V3,03无排行有提醒,0,11,46.09,103.89,0
渝D865V3,03无排行有提醒,0,30,140.31,316.26,0
粤STC809,03无排行有提醒,16,14,78.78,177.57,202.94
粤B2X562,03无排行有提醒,2,27,120.69,272.04,20.15
粤BY1047,03无排行有提醒,30,0,0,0,81
粤B3AU48,03无排行有提醒,5,25,30.16,67.98,13.6
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤B892VK,03无排行有提醒,0,21,68.02,153.32,0
粤BS207S,03无排行有提醒,0,2,3.32,7.48,0
粤BS207S,03无排行有提醒,0,13,99.04,223.24,0
渝D865V3,03无排行有提醒,4,27,119.02,268.27,39.74
粤B892VK,03无排行有提醒,0,31,73.61,165.92,0
粤B2X562,03无排行有提醒,7,24,58.35,131.52,38.36
粤STC809,03无排行有提醒,3,28,341.34,769.38,82.43
粤BY1047,03无排行有提醒,31,0,0,0,83.7
粤B3AU48,03无排行有提醒,22,8,3.63,8.18,22.5
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
粤B2X562,03无排行有提醒,1,29,72.87,164.25,5.66
粤B892VK,03无排行有提醒,28,2,2.92,6.58,92.14
粤STC809,03无排行有提醒,0,30,395.89,892.34,0
渝D865V3,03无排行有提醒,30,0,0,0,303.6
粤BY1047,03无排行有提醒,30,0,0,0,81
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤BS207S,03无排行有提醒,0,9,27.6,62.21,0
皖AT0549,03无排行有提醒,0,3,179.29,404.12,0
皖AT0579,03无排行有提醒,0,3,95.54,215.35,0
皖AT0621,03无排行有提醒,0,3,139.57,314.59,0
皖AT0631,03无排行有提醒,0,3,126.51,285.15,0
皖AT0589,03无排行有提醒,0,3,97.43,219.61,0
皖AT0632,03无排行有提醒,0,3,165.72,373.53,0
皖AT0563,03无排行有提醒,0,2,23.57,53.13,0
皖AT0596,03无排行有提醒,0,3,120.54,271.7,0
皖AT0633,03无排行有提醒,0,3,134.8,303.84,0
皖AT0591,03无排行有提醒,0,3,144.26,325.16,0
皖AT0539,03无排行有提醒,0,3,132.05,297.64,0
1.22E+16,03无排行有提醒,2,1,0.26,0.59,1.17
皖AT0591,03无排行有提醒,0,31,1638.28,3692.68,0
皖AT0589,03无排行有提醒,0,31,1599.37,3604.98,0
皖AT0632,03无排行有提醒,8,23,1602.43,3611.88,1256.31
皖AT0539,03无排行有提醒,9,22,1091.25,2459.68,1006.23
皖AT0549,03无排行有提醒,0,31,2036.17,4589.53,0
皖AT0633,03无排行有提醒,0,31,1545.06,3482.57,0
皖AT0579,03无排行有提醒,0,31,1382.65,3116.49,0
皖AT0596,03无排行有提醒,0,31,1150.12,2592.37,0
皖AT0631,03无排行有提醒,0,30,1045.63,2356.85,0
皖AT0621,03无排行有提醒,0,31,1366.13,3079.26,0
粤STC809,03无排行有提醒,0,31,658.54,1484.35,0
皖AT0563,03无排行有提醒,0,28,1058.64,2386.17,0
粤BY1047,03无排行有提醒,31,0,0,0,83.7
1.22E+16,03无排行有提醒,31,0,0,0,18.29
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤B2X562,03无排行有提醒,5,26,59.17,133.37,25.65
渝D865V3,03无排行有提醒,31,0,0,0,313.72
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
粤BS207S,03无排行有提醒,0,11,79.56,179.33,0
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
皖AT0549,03无排行有提醒,3,28,1293.23,2914.94,312.32
皖AT0633,03无排行有提醒,24,7,308.95,696.37,2387.57
皖AT0589,03无排行有提醒,1,27,1013.24,2283.84,84.59
皖AT0591,03无排行有提醒,5,26,1297.08,2923.62,562.23
皖AT0621,03无排行有提醒,6,25,877.42,1977.7,474.65
皖AT0579,03无排行有提醒,6,25,1071.29,2414.69,579.53
皖AT0596,03无排行有提醒,2,29,1020.69,2300.64,158.66
皖AT0631,03无排行有提醒,1,30,855.13,1927.46,64.25
皖AT0563,03无排行有提醒,7,24,987.23,2225.22,649.02
粤BS207S,03无排行有提醒,6,17,60.49,136.34,48.12
粤STC809,03无排行有提醒,13,18,413.16,931.26,672.58
皖AT0632,03无排行有提醒,31,0,0,0,4376.89
皖AT0539,03无排行有提醒,31,0,0,0,3421.47
渝D865V3,03无排行有提醒,31,0,0,0,313.72
粤B2X562,03无排行有提醒,31,0,0,0,207.39
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
