车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0589,03无排行有提醒,0,30,1038.28,2340.28,0
皖AT0549,03无排行有提醒,0,30,1633.67,3682.29,0
皖AT0591,03无排行有提醒,0,30,1524.58,3436.4,0
皖AT0632,03无排行有提醒,5,25,1400.04,3155.69,631.14
皖AT0621,03无排行有提醒,2,28,800.39,1804.08,128.86
皖AT0631,03无排行有提醒,0,30,842.22,1898.36,0
皖AT0579,03无排行有提醒,0,30,1201.69,2708.61,0
皖AT0596,03无排行有提醒,0,30,1042.66,2350.16,0
粤STC809,03无排行有提醒,0,30,455.82,1027.42,0
1.2212E+16,03无排行有提醒,30,0,0,0,17.7
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BY1047,03无排行有提醒,30,0,0,0,81
皖AT0563,03无排行有提醒,4,26,789.33,1779.15,273.72
粤B2X562,03无排行有提醒,30,0,0,0,200.7
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
渝D865V3,03无排行有提醒,30,0,0,0,303.6
