车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0549,03无排行有提醒,2,28,1603.92,3615.24,258.23
皖AT0632,03无排行有提醒,2,28,1782.75,4018.32,287.02
皖AT0621,03无排行有提醒,1,29,1169.67,2636.44,90.91
皖AT0591,03无排行有提醒,0,30,1521.18,3428.74,0
皖AT0631,03无排行有提醒,0,30,1010.88,2278.52,0
皖AT0596,03无排行有提醒,0,30,1024.9,2310.12,0
皖AT0579,03无排行有提醒,15,15,728.67,1642.42,1642.42
皖AT0563,03无排行有提醒,7,23,745.95,1681.37,511.72
粤STC809,03无排行有提醒,0,30,683,1539.48,0
1.2212E+16,03无排行有提醒,30,0,0,0,17.7
皖AT0589,03无排行有提醒,30,0,0,0,2463.3
粤B2X562,03无排行有提醒,30,0,0,0,200.7
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤BY1047,03无排行有提醒,30,0,0,0,81
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
渝D865V3,03无排行有提醒,30,0,0,0,303.6
