车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0541,02有排行无提醒,0,30,1594.83,3594.75,0
皖AT0575,02有排行无提醒,6,24,1268.97,2860.26,715.06
皖AT0601,02有排行无提醒,0,30,1077.42,2428.5,0
皖AT0576,02有排行无提醒,0,30,1092.75,2463.06,0
皖AT0580,02有排行无提醒,7,23,265.99,599.54,182.47
皖AT0620,02有排行无提醒,0,30,787.33,1774.64,0
皖AT0657,02有排行无提醒,0,30,1138.86,2566.99,0
粤B3Q03K,02有排行无提醒,0,30,92.43,208.34,0
粤JCL629,02有排行无提醒,6,24,30.18,68.03,17.01
皖AT0641,02有排行无提醒,0,0,0,0,0
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AYY059,02有排行无提醒,30,0,0,0,236.4
1.2212E+16,02有排行无提醒,30,0,0,0,55.5
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤B9XN26,02有排行无提醒,7,23,259.26,584.37,177.85
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
皖AT0613,02有排行无提醒,30,0,0,0,2387.1
粤BL05M1,02有排行无提醒,17,13,33.8,76.19,99.63
